       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.399540905541E+03   -0.39954E+03   -0.21900E+00  1480   0.300E+00    0.789E-01
DAV:   2    -0.399565340138E+03   -0.24435E-01   -0.21743E-01  1576   0.614E+00    0.155E+00
DAV:   3    -0.399512802086E+03    0.52538E-01   -0.10934E-01  1576   0.429E+00    0.358E-01
DAV:   4    -0.399512346427E+03    0.45566E-03   -0.25763E-02  1816   0.123E+00    0.278E-01
DAV:   5    -0.399511556341E+03    0.79009E-03   -0.10688E-02  1792   0.748E-01    0.753E-02
DAV:   6    -0.399511722190E+03   -0.16585E-03   -0.21709E-03  1520   0.263E-01    0.765E-02
DAV:   7    -0.399511705283E+03    0.16906E-04   -0.96701E-04  1520   0.217E-01    0.421E-02
DAV:   8    -0.399511713003E+03   -0.77196E-05   -0.24675E-04  1528   0.122E-01    0.314E-02
DAV:   9    -0.399511703328E+03    0.96752E-05   -0.99715E-05  1512   0.756E-02
   1 F= -.39951170E+03 E0= -.39934572E+03  d E =-.497954E+00
