       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.399540909851E+03   -0.39954E+03   -0.21897E+00  1480   0.300E+00    0.789E-01
DAV:   2    -0.399565336287E+03   -0.24426E-01   -0.21736E-01  1576   0.614E+00    0.155E+00
DAV:   3    -0.399512800772E+03    0.52536E-01   -0.10933E-01  1576   0.429E+00    0.358E-01
DAV:   4    -0.399512349667E+03    0.45111E-03   -0.25826E-02  1824   0.123E+00    0.278E-01
DAV:   5    -0.399511556490E+03    0.79318E-03   -0.10658E-02  1784   0.748E-01    0.754E-02
DAV:   6    -0.399511722028E+03   -0.16554E-03   -0.21682E-03  1520   0.263E-01    0.765E-02
DAV:   7    -0.399511705352E+03    0.16676E-04   -0.96825E-04  1520   0.217E-01    0.421E-02
DAV:   8    -0.399511713006E+03   -0.76539E-05   -0.24709E-04  1528   0.122E-01    0.314E-02
DAV:   9    -0.399511703333E+03    0.96726E-05   -0.99432E-05  1512   0.755E-02
   1 F= -.39951170E+03 E0= -.39934572E+03  d E =-.497954E+00
