       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1    -0.393532081373E+03   -0.39353E+03   -0.22054E+00  1480   0.287E+00    0.724E-01
DAV:   2    -0.393540074198E+03   -0.79928E-02   -0.12586E-01  1584   0.534E+00    0.124E+00
DAV:   3    -0.393505453593E+03    0.34621E-01   -0.69832E-02  1576   0.369E+00    0.313E-01
DAV:   4    -0.393505468853E+03   -0.15260E-04   -0.24384E-02  2040   0.109E+00    0.253E-01
DAV:   5    -0.393504707152E+03    0.76170E-03   -0.71230E-03  1608   0.687E-01    0.686E-02
DAV:   6    -0.393504821902E+03   -0.11475E-03   -0.17361E-03  1512   0.191E-01    0.586E-02
DAV:   7    -0.393504829908E+03   -0.80064E-05   -0.67788E-04  1520   0.187E-01    0.414E-02
DAV:   8    -0.393504823862E+03    0.60460E-05   -0.17053E-04  1544   0.953E-02    0.206E-02
DAV:   9    -0.393504819736E+03    0.41258E-05   -0.54537E-05  1448   0.544E-02
   1 F= -.39350482E+03 E0= -.39342604E+03  d E =-.236336E+00
