       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.401553894303E+03   -0.40155E+03   -0.41145E+02 26416   0.220E+01    0.276E+00
RMM:   2    -0.401702128892E+03   -0.14823E+00   -0.58467E+00 27187   0.559E+00    0.141E+00
RMM:   3    -0.401677002386E+03    0.25127E-01   -0.23875E-01 27234   0.113E+00    0.828E-01
RMM:   4    -0.401662505206E+03    0.14497E-01   -0.26441E-02 27256   0.378E-01    0.188E-01
RMM:   5    -0.401661592601E+03    0.91261E-03   -0.22240E-03 27347   0.927E-02    0.144E-01
RMM:   6    -0.401661175764E+03    0.41684E-03   -0.91083E-04 27566   0.643E-02    0.771E-02
RMM:   7    -0.401660964586E+03    0.21118E-03   -0.31187E-04 27378   0.382E-02    0.187E-02
RMM:   8    -0.401660927996E+03    0.36590E-04   -0.62889E-05 24929   0.196E-02    0.990E-03
RMM:   9    -0.401660923595E+03    0.44010E-05   -0.35453E-06 14537   0.430E-03
   1 F= -.40166092E+03 E0= -.40166450E+03  d E =0.107192E-01
