       N       E                     dE             d eps       ncg     rms          rms(c)
RMM:   1    -0.394866024230E+03   -0.39487E+03   -0.38415E+02 26359   0.211E+01    0.348E+00
RMM:   2    -0.394858105959E+03    0.79183E-02   -0.55237E+00 26988   0.518E+00    0.194E+00
RMM:   3    -0.394794179833E+03    0.63926E-01   -0.34710E-01 27045   0.142E+00    0.772E-01
RMM:   4    -0.394781903050E+03    0.12277E-01   -0.24576E-02 27096   0.362E-01    0.195E-01
RMM:   5    -0.394780837477E+03    0.10656E-02   -0.29640E-03 27203   0.116E-01    0.173E-01
RMM:   6    -0.394780282225E+03    0.55525E-03   -0.11759E-03 27439   0.716E-02    0.993E-02
RMM:   7    -0.394779972660E+03    0.30956E-03   -0.51193E-04 27193   0.476E-02    0.190E-02
RMM:   8    -0.394779919785E+03    0.52874E-04   -0.62620E-05 25218   0.198E-02    0.953E-03
RMM:   9    -0.394779915948E+03    0.38373E-05   -0.37022E-06 14740   0.434E-03
   1 F= -.39477992E+03 E0= -.39477021E+03  d E =-.291076E-01
